---
title: Model Properties Table
hide-toc: true
---
# Model Properties Table

also see the [interactive model table](../_static/model_properties_table_interactive.html)
| name.default_alias                    | name.huggingface                                                                                                            | n_params.as_str   |   n_params.as_int |   cfg.n_params |   cfg.n_layers |   cfg.n_heads |   cfg.d_model |   cfg.d_vocab | cfg.act_fn        | cfg.positional_embedding_type   | cfg.parallel_attn_mlp   | cfg.original_architecture      | cfg.normalization_type   | tokenizer.name                              | tokenizer.class         | tokenizer.vocab_size   | tokenizer.vocab_hash         |
| opt-13b                               | [facebook/opt-13b](https://huggingface.co/facebook/opt-13b)                                                                 | 13B               |       12582912000 |    12582912000 |             40 |            40 |          5120 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-13b                            | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
| opt-30b                               | [facebook/opt-30b](https://huggingface.co/facebook/opt-30b)                                                                 | 30B               |       29595009024 |    29595009024 |             48 |            56 |          7168 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-30b                            | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
| opt-66b                               | [facebook/opt-66b](https://huggingface.co/facebook/opt-66b)                                                                 | 65B               |       65229815808 |    65229815808 |             64 |            72 |          9216 |         50272 | relu              | standard                        | False                   | OPTForCausalLM                 | LN                       | facebook/opt-66b                            | GPT2TokenizerFast       | 50265.0                | f1FIzqnRiMYzke1CU0hp8TDxq7k= |
| facebook/hubert-base-ls960            | [facebook/hubert-base-ls960](https://huggingface.co/facebook/hubert-base-ls960)                                             | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |            -1 | gelu              | standard                        | False                   | HubertModel                    | LN                       |                                             |                         |                        |                              |
| facebook/wav2vec2-base                | [facebook/wav2vec2-base](https://huggingface.co/facebook/wav2vec2-base)                                                     | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |            -1 | gelu              | standard                        | False                   | Wav2Vec2ForPreTraining         | LN                       | facebook/wav2vec2-base                      | Wav2Vec2CTCTokenizer    | 32.0                   | tJ24E7IRYtfON5KH_y7lgJl6WV4= |
| facebook/wav2vec2-large               | [facebook/wav2vec2-large](https://huggingface.co/facebook/wav2vec2-large)                                                   | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |            -1 | gelu              | standard                        | False                   | Wav2Vec2ForPreTraining         | LN                       |                                             |                         |                        |                              |
| gpt-neo-125M                          |                                                                                                                             | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | EleutherAI/gpt-neo-125M                     | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| gpt-neo-1.3B                          |                                                                                                                             | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | EleutherAI/gpt-neo-1.3B                     | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| gpt-neo-2.7B                          |                                                                                                                             | 2.5B              |        2516582400 |     2516582400 |             32 |            20 |          2560 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | EleutherAI/gpt-neo-2.7B                     | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| gpt-j-6B                              |                                                                                                                             | 5.6B              |        5637144576 |     5637144576 |             28 |            16 |          4096 |         50400 | gelu_new          | rotary                          | True                    | GPTJForCausalLM                | LN                       | EleutherAI/gpt-j-6B                         | GPT2TokenizerFast       | 50257.0                | aKfp-BCA9d3W27qknxFiS0DGC5s= |
| gpt-neox-20b                          | [EleutherAI/gpt-neox-20b](https://huggingface.co/EleutherAI/gpt-neox-20b)                                                   | 20B               |       19931332608 |    19931332608 |             44 |            64 |          6144 |         50432 | gelu_fast         | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| stanford-gpt2-small-a                 | [stanford-crfm/alias-gpt2-small-x21](https://huggingface.co/stanford-crfm/alias-gpt2-small-x21)                             | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/alias-gpt2-small-x21          | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-small-b                 | [stanford-crfm/battlestar-gpt2-small-x49](https://huggingface.co/stanford-crfm/battlestar-gpt2-small-x49)                   | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/battlestar-gpt2-small-x49     | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-small-c                 | [stanford-crfm/caprica-gpt2-small-x81](https://huggingface.co/stanford-crfm/caprica-gpt2-small-x81)                         | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/caprica-gpt2-small-x81        | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-small-d                 | [stanford-crfm/darkmatter-gpt2-small-x343](https://huggingface.co/stanford-crfm/darkmatter-gpt2-small-x343)                 | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/darkmatter-gpt2-small-x343    | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-small-e                 | [stanford-crfm/expanse-gpt2-small-x777](https://huggingface.co/stanford-crfm/expanse-gpt2-small-x777)                       | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/expanse-gpt2-small-x777       | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-medium-a                | [stanford-crfm/arwen-gpt2-medium-x21](https://huggingface.co/stanford-crfm/arwen-gpt2-medium-x21)                           | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/arwen-gpt2-medium-x21         | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-medium-b                | [stanford-crfm/beren-gpt2-medium-x49](https://huggingface.co/stanford-crfm/beren-gpt2-medium-x49)                           | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/beren-gpt2-medium-x49         | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-medium-c                | [stanford-crfm/celebrimbor-gpt2-medium-x81](https://huggingface.co/stanford-crfm/celebrimbor-gpt2-medium-x81)               | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/celebrimbor-gpt2-medium-x81   | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-medium-d                | [stanford-crfm/durin-gpt2-medium-x343](https://huggingface.co/stanford-crfm/durin-gpt2-medium-x343)                         | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/durin-gpt2-medium-x343        | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stanford-gpt2-medium-e                | [stanford-crfm/eowyn-gpt2-medium-x777](https://huggingface.co/stanford-crfm/eowyn-gpt2-medium-x777)                         | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPT2LMHeadModel                | LN                       | stanford-crfm/eowyn-gpt2-medium-x777        | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| pythia-14m                            | [EleutherAI/pythia-14m](https://huggingface.co/EleutherAI/pythia-14m)                                                       | 1.2M              |           1179648 |        1179648 |              6 |             4 |           128 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-14m                       | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-31m                            | [EleutherAI/pythia-31m](https://huggingface.co/EleutherAI/pythia-31m)                                                       | 4.7M              |           4718592 |        4718592 |              6 |             8 |           256 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-31m                       | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-70m                            | [EleutherAI/pythia-70m](https://huggingface.co/EleutherAI/pythia-70m)                                                       | 19M               |          18874368 |       18874368 |              6 |             8 |           512 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-70m                       | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m                           | [EleutherAI/pythia-160m](https://huggingface.co/EleutherAI/pythia-160m)                                                     | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m                      | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-410m                           | [EleutherAI/pythia-410m](https://huggingface.co/EleutherAI/pythia-410m)                                                     | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-410m                      | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1b                             | [EleutherAI/pythia-1b](https://huggingface.co/EleutherAI/pythia-1b)                                                         | 805M              |         805306368 |      805306368 |             16 |             8 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1b                        | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1.4b                           | [EleutherAI/pythia-1.4b](https://huggingface.co/EleutherAI/pythia-1.4b)                                                     | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1.4b                      | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-2.8b                           | [EleutherAI/pythia-2.8b](https://huggingface.co/EleutherAI/pythia-2.8b)                                                     | 2.5B              |        2516582400 |     2516582400 |             32 |            32 |          2560 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-2.8b                      | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-6.9b                           | [EleutherAI/pythia-6.9b](https://huggingface.co/EleutherAI/pythia-6.9b)                                                     | 6.4B              |        6442450944 |     6442450944 |             32 |            32 |          4096 |         50432 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-6.9b                      | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-12b                            | [EleutherAI/pythia-12b](https://huggingface.co/EleutherAI/pythia-12b)                                                       | 11B               |       11324620800 |    11324620800 |             36 |            40 |          5120 |         50688 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-12b                       | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-70m-deduped                    | [EleutherAI/pythia-70m-deduped](https://huggingface.co/EleutherAI/pythia-70m-deduped)                                       | 19M               |          18874368 |       18874368 |              6 |             8 |           512 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-70m-deduped               | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m-deduped                   | [EleutherAI/pythia-160m-deduped](https://huggingface.co/EleutherAI/pythia-160m-deduped)                                     | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m-deduped              | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-410m-deduped                   | [EleutherAI/pythia-410m-deduped](https://huggingface.co/EleutherAI/pythia-410m-deduped)                                     | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-410m-deduped              | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1b-deduped                     | [EleutherAI/pythia-1b-deduped](https://huggingface.co/EleutherAI/pythia-1b-deduped)                                         | 805M              |         805306368 |      805306368 |             16 |             8 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1b-deduped                | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1.4b-deduped                   | [EleutherAI/pythia-1.4b-deduped](https://huggingface.co/EleutherAI/pythia-1.4b-deduped)                                     | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1.4b-deduped              | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-2.8b-deduped                   | [EleutherAI/pythia-2.8b-deduped](https://huggingface.co/EleutherAI/pythia-2.8b-deduped)                                     | 2.5B              |        2516582400 |     2516582400 |             32 |            32 |          2560 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-2.8b-deduped              | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-6.9b-deduped                   | [EleutherAI/pythia-6.9b-deduped](https://huggingface.co/EleutherAI/pythia-6.9b-deduped)                                     | 6.4B              |        6442450944 |     6442450944 |             32 |            32 |          4096 |         50432 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-6.9b-deduped              | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-12b-deduped                    | [EleutherAI/pythia-12b-deduped](https://huggingface.co/EleutherAI/pythia-12b-deduped)                                       | 11B               |       11324620800 |    11324620800 |             36 |            40 |          5120 |         50688 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-12b-deduped               | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-70m-v0                         | [EleutherAI/pythia-70m-v0](https://huggingface.co/EleutherAI/pythia-70m-v0)                                                 | 19M               |          18874368 |       18874368 |              6 |             8 |           512 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-70m-v0                    | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m-v0                        | [EleutherAI/pythia-160m-v0](https://huggingface.co/EleutherAI/pythia-160m-v0)                                               | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m-v0                   | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-410m-v0                        | [EleutherAI/pythia-410m-v0](https://huggingface.co/EleutherAI/pythia-410m-v0)                                               | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-410m-v0                   | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1b-v0                          | [EleutherAI/pythia-1b-v0](https://huggingface.co/EleutherAI/pythia-1b-v0)                                                   | 805M              |         805306368 |      805306368 |             16 |             8 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1b-v0                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1.4b-v0                        | [EleutherAI/pythia-1.4b-v0](https://huggingface.co/EleutherAI/pythia-1.4b-v0)                                               | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1.4b-v0                   | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-2.8b-v0                        | [EleutherAI/pythia-2.8b-v0](https://huggingface.co/EleutherAI/pythia-2.8b-v0)                                               | 2.5B              |        2516582400 |     2516582400 |             32 |            32 |          2560 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-2.8b-v0                   | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-6.9b-v0                        | [EleutherAI/pythia-6.9b-v0](https://huggingface.co/EleutherAI/pythia-6.9b-v0)                                               | 6.4B              |        6442450944 |     6442450944 |             32 |            32 |          4096 |         50432 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-6.9b-v0                   | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-12b-v0                         | [EleutherAI/pythia-12b-v0](https://huggingface.co/EleutherAI/pythia-12b-v0)                                                 | 11B               |       11324620800 |    11324620800 |             36 |            40 |          5120 |         50688 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-12b-v0                    | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-70m-deduped-v0                 | [EleutherAI/pythia-70m-deduped-v0](https://huggingface.co/EleutherAI/pythia-70m-deduped-v0)                                 | 19M               |          18874368 |       18874368 |              6 |             8 |           512 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-70m-deduped-v0            | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m-deduped-v0                | [EleutherAI/pythia-160m-deduped-v0](https://huggingface.co/EleutherAI/pythia-160m-deduped-v0)                               | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m-deduped-v0           | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-410m-deduped-v0                | [EleutherAI/pythia-410m-deduped-v0](https://huggingface.co/EleutherAI/pythia-410m-deduped-v0)                               | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-410m-deduped-v0           | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1b-deduped-v0                  | [EleutherAI/pythia-1b-deduped-v0](https://huggingface.co/EleutherAI/pythia-1b-deduped-v0)                                   | 805M              |         805306368 |      805306368 |             16 |             8 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1b-deduped-v0             | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-1.4b-deduped-v0                | [EleutherAI/pythia-1.4b-deduped-v0](https://huggingface.co/EleutherAI/pythia-1.4b-deduped-v0)                               | 1.2B              |        1207959552 |     1207959552 |             24 |            16 |          2048 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-1.4b-deduped-v0           | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-2.8b-deduped-v0                | [EleutherAI/pythia-2.8b-deduped-v0](https://huggingface.co/EleutherAI/pythia-2.8b-deduped-v0)                               | 2.5B              |        2516582400 |     2516582400 |             32 |            32 |          2560 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-2.8b-deduped-v0           | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-6.9b-deduped-v0                | [EleutherAI/pythia-6.9b-deduped-v0](https://huggingface.co/EleutherAI/pythia-6.9b-deduped-v0)                               | 6.4B              |        6442450944 |     6442450944 |             32 |            32 |          4096 |         50432 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-6.9b-deduped-v0           | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-12b-deduped-v0                 | [EleutherAI/pythia-12b-deduped-v0](https://huggingface.co/EleutherAI/pythia-12b-deduped-v0)                                 | 11B               |       11324620800 |    11324620800 |             36 |            40 |          5120 |         50688 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-12b-deduped-v0            | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m-seed1                     | [EleutherAI/pythia-160m-seed1](https://huggingface.co/EleutherAI/pythia-160m-seed1)                                         | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m-seed1                | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m-seed2                     | [EleutherAI/pythia-160m-seed2](https://huggingface.co/EleutherAI/pythia-160m-seed2)                                         | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m-seed2                | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| pythia-160m-seed3                     | [EleutherAI/pythia-160m-seed3](https://huggingface.co/EleutherAI/pythia-160m-seed3)                                         | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         50304 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | EleutherAI/pythia-160m-seed3                | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
